date,ticker,close
2021-04-22,XLI,93.35
2021-04-22,XLE,19.71
2021-04-22,XLU,28.84
2021-04-22,XLRE,35.85
2021-04-22,XLB,37.08
2021-04-22,XLC,72.07
2021-04-22,SPY,385.05
2021-04-23,XLK,68.76
2021-04-23,XLF,32.59
2021-04-23,XLV,114.58
2021-04-23,XLY,85.54
2021-04-23,XLP,61.33
2021-04-23,XLI,94.37
2021-04-23,XLE,19.89
2021-04-23,XLU,28.8
2021-04-23,XLRE,36.06
2021-04-23,XLB,37.69
2021-04-23,XLC,72.91
2021-04-23,SPY,389.23
2021-04-26,XLK,69.11
2021-04-26,XLF,32.72
2021-04-26,XLV,114.19
2021-04-26,XLY,85.91
2021-04-26,XLP,60.65
2021-04-26,XLI,94.09
2021-04-26,XLE,20.02
2021-04-26,XLU,28.64
2021-04-26,XLRE,36.13
2021-04-26,XLB,37.91
2021-04-26,XLC,73.06
2021-04-26,SPY,390.04
2021-04-27,XLK,68.95
2021-04-27,XLF,32.98
2021-04-27,XLV,113.53
2021-04-27,XLY,85.81
2021-04-27,XLP,60.6
2021-04-27,XLI,94.87
2021-04-27,XLE,20.26
2021-04-27,XLU,28.42
2021-04-27,XLRE,36.13
2021-04-27,XLB,37.81
2021-04-27,XLC,72.76
2021-04-27,SPY,389.96
2021-04-28,XLK,68.31
2021-04-28,XLF,33.11
2021-04-28,XLV,113.19
2021-04-28,XLY,85.71
2021-04-28,XLP,60.65
2021-04-28,XLI,94.68
2021-04-28,XLE,20.96
2021-04-28,XLU,28.38
2021-04-28,XLRE,36.01
2021-04-28,XLB,37.92
2021-04-28,XLC,73.43
2021-04-28,SPY,389.84
2021-04-29,XLK,68.25
2021-04-29,XLF,33.7
2021-04-29,XLV,112.74
2021-04-29,XLY,85.74
2021-04-29,XLP,61.29
2021-04-29,XLI,95.35
2021-04-29,XLE,21.2
2021-04-29,XLU,28.64
2021-04-29,XLRE,36.27
2021-04-29,XLB,38.15
2021-04-29,XLC,75.46
2021-04-29,SPY,392.33
2021-04-30,XLK,67.32
2021-04-30,XLF,33.41
2021-04-30,XLV,112.4
2021-04-30,XLY,86.07
2021-04-30,XLP,61.34
2021-04-30,XLI,94.71
2021-04-30,XLE,20.66
2021-04-30,XLU,28.86
2021-04-30,XLRE,36.51
2021-04-30,XLB,37.75
2021-04-30,XLC,74.43
