asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1503966,1470217,799843,043,043602,CBT,CHI,F30,-26175,-38969,25511,-15205,-25416,-3916,-96184,1610,15556,4621,20961,-21418,71532,-19597,2842,-26039,-42379,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,20.3,20.9,29.1,27.8,13.2,13.6,20.8,19.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",189489,244081,32619,FutOnly,210810043602F,861372,558044,115982,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,371005,583693,4076396,194097,263894,8023,36.9,36.1,19.6,4.6,6.0,0.8,21.1,13.7,2.8,9.1,14.3,4.8,6.5,0.2,90.9,85.7,100.0,2021-08-10T00:00:00.000,3705391,3492703,79,122,114,22,37,12,57,92,54,18,33,5,460,292,353,2021 Report Week 32
823571,511808,342013,042,042601,CBT,CHI,F30,-12818,-6403,4097,5242,-16627,3607,25498,567,-15946,1290,8158,-23206,-35192,-1675,1016,-24496,-31364,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,18.8,29.8,27.5,40.5,15.6,24.6,22.7,34.1,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",51280,138098,13712,FutOnly,210810042601F,455739,662908,36717,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,149008,137743,1964761,86104,115145,6617,41.9,26.0,17.4,2.6,7.0,0.7,23.2,33.7,1.9,7.6,7.0,4.4,5.9,0.3,92.4,93.0,100.0,2021-08-10T00:00:00.000,1815753,1827018,95,44,79,17,28,10,40,43,26,18,19,4,304,213,210,2021 Report Week 32
1300871,395939,268794,138,13874A,CME,CHI,F20,2340,16933,18027,5108,11494,-11012,6251,-23523,6183,-276,2254,19527,-4354,1911,-2740,19803,17273,,,S&P BROAD BASED STOCK INDICES,,12.7,22.1,20.8,31.8,11.8,20.3,18.7,28.6,E-MINI S&P 500,($50 X S&P 500 INDEX),185738,782366,142101,FutOnly,21081713874AF,266557,440831,92397,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,327326,252522,2716225,128092,336926,4349,47.9,14.6,9.9,6.8,28.8,5.2,9.8,16.2,3.4,12.1,9.3,4.7,12.4,0.2,87.9,90.7,100.0,2021-08-17T00:00:00.000,2388899,2463703,165,79,102,34,33,27,70,92,58,31,22,11,526,386,338,2021 Report Week 33
1512565,1420969,798898,043,043602,CBT,CHI,F30,8599,-49248,-945,-18129,31478,14818,-39359,-15569,12013,-6529,-8611,-8667,18905,5437,1960,-2138,-56,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,21.0,20.4,29.8,27.0,13.7,13.0,21.6,17.5,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",171360,275559,47437,FutOnly,210817043602F,822013,542475,127995,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,364476,575082,4067729,213002,269331,9983,37.2,34.9,19.6,4.2,6.8,1.2,20.2,13.3,3.1,9.0,14.1,5.2,6.6,0.2,91.0,85.9,100.0,2021-08-17T00:00:00.000,3703253,3492647,82,118,114,19,38,17,54,87,51,20,32,6,450,293,345,2021 Report Week 33
793160,540997,345803,042,042601,CBT,CHI,F30,-30411,29189,3790,-5033,3021,6227,14727,-38679,6344,4075,2239,7710,13334,922,-5343,3635,5471,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,18.7,30.7,27.3,41.0,15.4,25.1,22.6,34.3,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",46247,141119,19939,FutOnly,210817042601F,470466,624229,43061,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,153083,139982,1972471,99438,116067,1274,40.2,27.4,17.5,2.3,7.2,1.0,23.9,31.6,2.2,7.8,7.1,5.0,5.9,0.1,92.2,92.9,100.0,2021-08-17T00:00:00.000,1819388,1832489,93,45,77,11,34,12,45,38,30,17,17,,300,209,212,2021 Report Week 33
1283238,402455,258518,138,13874A,CME,CHI,F20,-17633,6516,-10276,14436,3100,-823,16198,19798,2717,33648,-2673,28678,-12914,6994,3325,-4970,31351,,,S&P BROAD BASED STOCK INDICES,,12.4,22.0,19.7,33.0,11.2,20.8,17.8,29.5,E-MINI S&P 500,($50 X S&P 500 INDEX),200174,785466,141278,FutOnly,21082413874AF,282755,460629,95114,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,360974,249849,2744903,115178,343920,7674,46.7,14.7,9.4,7.3,28.6,5.1,10.3,16.8,3.5,13.2,9.1,4.2,12.5,0.3,86.8,90.9,100.0,2021-08-24T00:00:00.000,2383929,2495054,167,75,99,31,32,27,68,93,57,29,25,11,520,378,336,2021 Report Week 34
1490032,1376296,828690,043,043602,CBT,CHI,F30,-22533,-44673,29792,14064,-23617,5491,-21402,44146,63163,21221,17939,107805,14821,12376,3188,86584,89866,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,20.1,19.4,29.3,26.2,12.9,12.2,21.2,16.6,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",185424,251942,52928,FutOnly,210824043602F,800611,586621,191158,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,385697,593021,4175534,227823,281707,13171,35.7,33.0,19.8,4.4,6.0,1.3,19.2,14.0,4.6,9.2,14.2,5.5,6.7,0.3,90.8,85.8,100.0,2021-08-24T00:00:00.000,3789837,3582513,85,115,117,20,42,23,55,88,59,18,33,6,456,307,354,2021 Report Week 34
770211,518863,345137,042,042601,CBT,CHI,F30,-22949,-22134,-666,21024,-28437,10372,-32598,10339,91960,3519,6430,81282,-1093,1705,11713,77763,74852,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,18.0,28.8,27.0,39.3,14.6,23.3,21.3,32.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",67271,112682,30311,FutOnly,210824042601F,437868,634568,135021,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,156602,146412,2053753,98345,117772,12987,37.5,25.3,16.8,3.3,5.5,1.5,21.3,30.9,6.6,7.6,7.1,4.8,5.7,0.6,92.4,92.9,100.0,2021-08-24T00:00:00.000,1897151,1907341,90,42,75,14,32,18,49,45,38,20,16,6,309,226,220,2021 Report Week 34
1289604,382878,262480,138,13874A,CME,CHI,F20,6366,-19577,3962,7383,30360,7759,-29726,-12160,10248,10660,224,31172,15028,10864,-508,20512,30948,,,S&P BROAD BASED STOCK INDICES,,12.5,22.0,19.4,33.1,11.1,20.8,17.4,29.5,E-MINI S&P 500,($50 X S&P 500 INDEX),207557,815826,149037,FutOnly,21083113874AF,253029,448469,105362,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,371634,250073,2776075,130206,354784,7166,46.5,13.8,9.5,7.5,29.4,5.4,9.1,16.2,3.8,13.4,9.0,4.7,12.8,0.3,86.6,91.0,100.0,2021-08-31T00:00:00.000,2404441,2526002,167,75,100,33,33,27,60,97,57,32,23,15,520,381,338,2021 Report Week 35
1478799,1346863,784122,043,043602,CBT,CHI,F30,-11233,-29433,-44568,36391,-5570,-7733,-27452,-85217,-45718,-45231,-34753,-229077,-97712,9736,14179,-183846,-194324,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,19.8,20.0,28.9,26.1,11.9,12.4,20.0,16.3,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",221815,246372,45195,FutOnly,210831043602F,773159,501404,145440,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,340466,558268,3946457,130111,291443,27350,37.5,34.1,19.9,5.6,6.2,1.1,19.6,12.7,3.7,8.6,14.1,3.3,7.4,0.7,91.4,85.9,100.0,2021-08-31T00:00:00.000,3605991,3388189,79,121,114,22,36,23,60,85,42,16,32,6,451,290,346,2021 Report Week 35
755829,510091,328346,042,042601,CBT,CHI,F30,-14382,-8772,-16791,-12656,20826,-3641,48786,-309,-74197,-14155,-11879,-102340,-7293,434,-8011,-88185,-90461,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,21.1,29.3,29.0,39.0,17.3,23.7,23.7,32.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",54615,133508,26670,FutOnly,210831042601F,486654,634259,60824,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,142447,134533,1951413,91052,118206,4976,38.7,26.1,16.8,2.8,6.8,1.4,24.9,32.5,3.1,7.3,6.9,4.7,6.1,0.3,92.7,93.1,100.0,2021-08-31T00:00:00.000,1808966,1816880,91,46,75,14,30,16,42,45,28,19,18,,305,211,215,2021 Report Week 35
1289224,371919,272788,138,13874A,CME,CHI,F20,-380,-10959,10308,8357,28598,15836,33771,-1952,6388,-11083,709,51480,-9671,4598,-2046,62563,50771,,,S&P BROAD BASED STOCK INDICES,,12.3,21.9,19.8,32.4,10.9,20.6,17.7,29.6,E-MINI S&P 500,($50 X S&P 500 INDEX),215914,844424,164873,FutOnly,21090713874AF,286800,446517,111750,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,360551,250782,2827555,120535,359382,5120,45.6,13.2,9.6,7.6,29.9,5.8,10.1,15.8,4.0,12.8,8.9,4.3,12.7,0.2,87.2,91.1,100.0,2021-09-07T00:00:00.000,2467004,2576773,165,76,105,32,34,31,70,90,59,32,27,12,526,388,345,2021 Report Week 36
1487545,1359428,781843,043,043602,CBT,CHI,F30,8746,12565,-2279,-16863,-30484,331,-58001,6123,-22587,4405,13161,-41621,61851,-1227,-17224,-46026,-54782,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,20.1,20.2,29.5,26.3,12.0,12.5,20.1,16.4,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",204952,215888,45526,FutOnly,210907043602F,715158,507527,122853,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,344871,571429,3904836,191962,290216,10126,38.1,34.8,20.0,5.2,5.5,1.2,18.3,13.0,3.1,8.8,14.6,4.9,7.4,0.3,91.2,85.4,100.0,2021-09-07T00:00:00.000,3559965,3333407,81,119,112,23,37,18,59,85,43,18,30,5,452,290,340,2021 Report Week 36
770427,501245,327336,042,042601,CBT,CHI,F30,14598,-8846,-1010,4206,-2587,-8846,-4684,31833,-11513,892,1302,-343,9729,3039,-3715,-1235,-1645,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.8,29.5,29.3,39.1,17.1,24.1,23.6,32.6,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",58821,130921,17824,FutOnly,210907042601F,481970,666092,49311,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,143339,135835,1951070,100781,121245,1261,39.5,25.7,16.8,3.0,6.7,0.9,24.7,34.1,2.5,7.3,7.0,5.2,6.2,0.1,92.7,93.0,100.0,2021-09-07T00:00:00.000,1807731,1815235,95,40,77,16,30,14,47,41,27,18,18,,305,218,207,2021 Report Week 36
1238104,374581,360825,138,13874A,CME,CHI,F20,-51120,2662,88037,-5173,-11592,47453,-5659,-30570,82677,61590,18067,224210,1433,22504,4972,162620,206143,,,S&P BROAD BASED STOCK INDICES,,12.8,20.8,19.8,30.5,9.5,18.6,15.3,26.2,E-MINI S&P 500,($50 X S&P 500 INDEX),210741,832832,212326,FutOnly,21091413874AF,281141,415947,194427,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,422141,268849,3051765,121968,381886,10092,40.6,12.3,11.8,6.9,27.3,7.0,9.2,13.6,6.4,13.8,8.8,4.0,12.5,0.3,86.2,91.2,100.0,2021-09-14T00:00:00.000,2629624,2782916,165,74,106,32,33,39,74,84,82,33,28,11,524,407,355,2021 Report Week 37
1456964,1396191,791320,043,043602,CBT,CHI,F30,-30581,36763,9477,3216,21172,-7447,71991,-13188,-22252,13589,8049,38074,497,5916,-416,24485,30025,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,19.4,20.9,28.3,27.2,11.7,13.3,19.1,17.5,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",208168,237060,38079,FutOnly,210914043602F,787149,494339,100601,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,358460,579478,3942910,192459,296132,9710,37.0,35.4,20.1,5.3,6.0,1.0,20.0,12.5,2.6,9.1,14.7,4.9,7.5,0.2,90.9,85.3,100.0,2021-09-14T00:00:00.000,3584450,3363432,83,123,117,15,42,16,65,85,40,14,35,6,462,288,353,2021 Report Week 37
789101,515285,324919,042,042601,CBT,CHI,F30,18674,14040,-2417,-17543,3394,3142,-19186,-30846,-10986,4217,-4508,-22484,687,4769,928,-26701,-17976,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,21.0,30.8,30.3,41.0,17.4,25.8,24.7,34.6,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",41278,134315,20966,FutOnly,210914042601F,462784,635246,38325,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,147556,131327,1928586,101468,126014,2189,40.9,26.7,16.8,2.1,7.0,1.1,24.0,32.9,2.0,7.7,6.8,5.3,6.5,0.1,92.3,93.2,100.0,2021-09-14T00:00:00.000,1781030,1797259,95,42,79,13,32,10,47,48,26,18,16,,311,213,215,2021 Report Week 37
